id,nome,ruolo,squadra,mv,presenze,fm,gol,assist,rig_segnati,rig_sbagliati,gol_subiti,rig_parati,ammonizioni,espulsioni,giornata,giornate_giocate,stagione,chiave
63371,Malen,A,Roma,6.75,18,9.28,14,2,3,0,0,0,1,0,38,38,2025-2026,malen
67777,Martinez,A,Inter,6.6,30,8.7,17,6,0,0,0,0,4,0,38,38,2025-2026,martinez
16625,Lukaku,A,Napoli,6.25,5,8.0,1,0,0,0,0,0,1,0,38,38,2025-2026,lukaku
21062,Belotti,A,Cagliari,6.25,8,8.0,2,0,1,0,0,0,0,0,38,38,2025-2026,belotti
63275,Thuram,A,Inter,6.52,29,8.0,13,6,0,0,0,0,2,0,38,38,2025-2026,thuram
102774,Højlund,A,Napoli,6.35,33,7.68,12,5,1,0,0,0,1,0,38,38,2025-2026,hjlund
118290,Douvikas,A,Como 1907,6.32,38,7.67,14,1,1,0,0,0,0,0,38,38,2025-2026,douvikas
58192,Vlahovic,A,Juventus,6.33,19,7.67,7,1,1,0,0,0,0,0,38,38,2025-2026,vlahovic
61870,Scamacca,A,Atalanta,6.2,24,7.61,10,1,2,0,0,0,2,0,38,38,2025-2026,scamacca
46806,Boga,A,Juventus,6.31,15,7.35,4,0,0,0,0,0,1,0,38,38,2025-2026,boga
95769,Krstovic,A,Atalanta,6.28,33,7.31,10,5,0,0,0,0,4,0,38,38,2025-2026,krstovic
60802,Simeone,A,Torino,6.16,32,7.3,11,0,0,0,0,0,1,0,38,38,2025-2026,simeone
118054,Yildiz,A,Juventus,6.42,36,7.25,10,6,1,0,0,0,2,0,38,38,2025-2026,yildiz
58086,Davis,A,Udinese,6.22,30,7.22,10,4,4,0,0,0,5,0,38,38,2025-2026,davis
53448,Pulisic,A,Milan,6.31,30,7.21,8,4,0,0,0,0,0,0,38,38,2025-2026,pulisic
65436,Rafael Leao,A,Milan,6.12,29,7.2,9,3,2,0,0,0,5,0,38,38,2025-2026,rafaelleao
120328,Alisson Santos,A,Napoli,6.29,14,7.14,4,0,0,0,0,0,1,0,38,38,2025-2026,alissonsantos
35059,Berardi,A,Sassuolo,6.21,26,7.1,8,4,2,0,0,0,2,1,38,38,2025-2026,berardi
53582,Dovbyk,A,Roma,6.12,14,7.08,3,1,0,0,0,0,0,0,38,38,2025-2026,dovbyk
61229,Kean,A,Fiorentina,6.08,26,7.08,8,1,2,0,0,0,4,0,38,38,2025-2026,kean
66162,Raspadori,A,Atalanta,6.27,13,7.08,3,1,0,0,0,0,0,0,38,38,2025-2026,raspadori
44263,Bonazzoli,A,Cremonese,6.13,35,7.03,10,1,3,0,0,0,4,0,38,38,2025-2026,bonazzoli
111438,Soule,A,Roma,6.34,33,7.0,6,5,0,0,0,0,1,0,38,38,2025-2026,soule
51647,Nkunku,A,Milan,6.18,32,7.0,7,3,5,0,0,0,0,0,38,38,2025-2026,nkunku
59346,Pinamonti,A,Sassuolo,6.14,36,6.97,9,3,0,0,0,0,2,1,38,38,2025-2026,pinamonti
96759,Ferguson,A,Roma,6.2,16,6.97,3,2,0,0,0,0,1,0,38,38,2025-2026,ferguson
61894,David Neres,A,Napoli,6.22,16,6.91,3,3,0,0,0,0,3,0,38,38,2025-2026,davidneres
52468,Orsolini,A,Bologna,6.09,35,6.89,10,1,4,0,0,0,2,0,38,38,2025-2026,orsolini
95435,Lauriente,A,Sassuolo,6.25,38,6.88,7,9,0,0,0,0,4,0,38,38,2025-2026,lauriente
118085,Esposito,A,Inter,6.14,35,6.86,7,3,0,0,0,0,1,0,38,38,2025-2026,esposito
120320,Elphege,A,Parma,6.0,9,6.85,2,1,0,0,0,0,0,0,38,38,2025-2026,elphege
46836,Vardy,A,Cremonese,6.0,29,6.78,7,2,0,0,0,0,5,0,38,38,2025-2026,vardy
102014,Odgaard,A,Bologna,6.02,26,6.77,5,1,0,0,0,0,1,0,38,38,2025-2026,odgaard
111489,Bonny,A,Inter,6.11,33,6.77,5,4,0,0,0,0,1,0,38,38,2025-2026,bonny
120319,Bowie,A,Verona,5.9,14,6.77,4,0,0,0,0,0,1,0,38,38,2025-2026,bowie
95684,Isaksen,A,Lazio,6.18,30,6.77,5,1,0,0,0,0,0,0,38,38,2025-2026,isaksen
119848,Pellegrino,A,Parma,5.91,37,6.73,9,1,1,0,0,0,5,0,38,38,2025-2026,pellegrino
71896,Adams,A,Torino,6.06,33,6.73,6,2,0,0,0,0,0,0,38,38,2025-2026,adams
16041,Pedro,A,Lazio,6.1,29,6.72,5,2,2,0,0,0,4,0,38,38,2025-2026,pedro
116358,Orban,A,Verona,5.96,28,6.7,7,2,2,0,0,0,4,1,38,38,2025-2026,orban
119094,Castro,A,Bologna,6.01,35,6.69,7,2,0,0,0,0,3,0,38,38,2025-2026,castro
70991,Esposito,A,Cagliari,6.1,36,6.69,7,5,1,0,0,0,6,0,38,38,2025-2026,esposito
37689,Dybala,A,Roma,6.36,22,6.68,2,6,0,0,0,0,0,0,38,38,2025-2026,dybala
95342,David,A,Juventus,6.0,35,6.67,6,4,0,0,0,0,0,0,38,38,2025-2026,david
58505,Okereke,A,Cremonese,6.05,10,6.65,2,0,0,0,0,0,0,1,38,38,2025-2026,okereke
119896,Addai,A,Como 1907,6.0,12,6.64,3,0,0,0,0,0,4,0,38,38,2025-2026,addai
