id,nome,nome_completo,wikipedia,soprannome
63371,Malen,Donyell Malen,Donyell Malen,
120635,Zeballos,Oscar Exequiel Zeballos,,
70991,Esposito,Sebastiano Esposito,Sebastiano Esposito,
109711,Raimondo,Antonio Raimondo,Antonio Raimondo,
63275,Thuram,Marcus Lilian Thuram-Ulien,Marcus Thuram,
71896,Adams,Ché Zach Everton Fred Adams,Ché Adams,
116477,Kvernadze,Giorgi Kvernadze,Giorgi K'vernadze,
118085,Esposito,Francesco Pio Esposito,Pio Esposito,
111438,Soule,Matías Soulé Malvano,Matías Soulé,
118419,Diao,Assane Diao Diaoune,Assane Diao,
118290,Douvikas,Anastasios Douvikas,Tasos Douvikas,
67777,Lautaro Martinez,Lautaro Javier Martínez,Lautaro Martínez,el Toro
119548,Gustavo Varela,Gustavo Miguel Pereira de Sousa Varela,Gustavo Varela,
35059,Berardi,Domenico Berardi,Domenico Berardi,
120541,Robinson,Jay Steven Robinson,,
102774,Hojlund,Rasmus Winther Højlund,Rasmus Højlund,
95132,Gonzalez,Nicolás Iván González,Nicolás González (calciatore 1998),
119848,Pellegrino,Mateo Pellegrino Casalánguida,Mateo Pellegrino,
37689,Dybala,Paulo Exequiel Dybala,Paulo Dybala,la Joya
111489,Bonny,Ange-Yoan Laurent Bonny,Ange-Yoan Bonny,
66162,Raspadori,Giacomo Raspadori,Giacomo Raspadori,
96400,Goncalo Ramos,Gonçalo Matias Ramos,Gonçalo Ramos,
120550,Romero,José David Romero,David Romero,
120334,Mendy,Paul Mendy,Paul Mendy,
61870,Scamacca,Gianluca Scamacca,Gianluca Scamacca,
118401,Gueye,Idrissa Gueye,Idrissa Gueye,
119040,Noslin,Tijjani Noslin,Tijjani Noslin,
120319,Bowie,Kieron Thomas Bowie,Kieron Bowie,
53582,Dovbyk,Artem Dovbyk,Artem Dovbyk,
102086,Yeboah,John Yeboah Zamora,John Yeboah,
102766,Cancellieri,Matteo Cancellieri,Matteo Cancellieri,
118061,Adams,Akor Jerome Adams,Akor Adams,
95769,Krstovic,Nikola Krstović,Nikola Krstović,
66238,Osmajic,Milutin Osmajić,Milutin Osmajić,
120544,Lontani,Simone Lontani,,
111387,Beto,Norberto Bercique Gomes Betuncal,Beto Betuncal,
118054,Yildiz,Kenan Yıldız,Kenan Yıldız,
120643,Sugamele,Alessandro Sugamele,,
61229,Kean,Moise Bioty Kean,Moise Kean,
70458,Piccoli,Roberto Piccoli,Roberto Piccoli,
98442,Bobcek,Tomáš Bobček,Tomáš Bobček,
46806,Boga,Jérémie Boga,Jérémie Boga,
118899,Ghedjemis,Farès Ghedjemis,Farès Ghedjemis,
95435,Lauriente,Armand Gaëtan Laurienté,Armand Laurienté,
58086,Davis,Keinan Vincent Joseph Davis,Keinan Davis,
66187,Lang,Noa Noëll Lang,Noa Lang,
116509,Fini,Seydou Fini,,
95331,Kolo Muani,Randal Kolo Muani,Randal Kolo Muani,
95519,De Ketelaere,Charles Marc De Ketelaere,,
100862,Dany Mota,Dany Mota Carvalho,Dany Mota,
103090,Frigan,Matija Frigan,Matija Frigan,
103168,Vitinha,Vítor Manuel Carvalho Oliveira,Vitinha (calciatore marzo 2000),
111827,Rowe,Jonathan David Henry Rowe,Jonathan Rowe,
112727,Bîrligea,George Daniel Bîrligea,,
114004,Albion Rrahmani,Albion Rrahmani,Albion Rrahmani,
118464,Forson,Omari Nathan Forson,Omari Forson,
51306,Cutrone,Patrick Cutrone,Patrick Cutrone,Pokémon
95276,Geubbels,Willem Davnis Louis Didier Geubbels,Willem Geubbels,
110216,Lucca,Lorenzo Lucca,Lorenzo Lucca,
95422,Toure,El Bilal Touré,El Bilal Touré,
97629,Stulic,Nikola Štulić,Nikola Štulić,
102693,Almqvist,Pontus Skule Erik Almqvist,Pontus Almqvist,
