id,nome,eta,nato_il,nazionalita
113048,Oyono,25,12/04/2001,Gabon
51495,Rrahmani,32,24/02/1994,Kosovo
51611,Akanji,31,19/07/1995,Svizzera
67743,Ndicka,27,20/08/1999,
72863,Nuno Tavares,26,26/01/2000,Portogallo
94914,Yan Couto,24,03/06/2002,Brasile
101889,Kalulu,26,05/06/2000,Francia
120128,Lulli,19,17/08/2007,Italia
61306,Bastoni,27,13/04/1999,Italia
101890,Molina,28,06/04/1998,Argentina
43014,Zappacosta,34,11/06/1992,Italia
54144,Comert,28,04/02/1998,Svizzera
66177,Juan Miranda,26,19/01/2000,Spagna
95318,Chalobah,27,05/07/1999,Inghilterra
102806,De Winter,24,12/06/2002,Belgio
110692,Vasquez,28,22/10/1998,Messico
119654,Rodriguez,21,30/05/2005,Uruguay
120286,Helland,21,25/04/2005,Norvegia
20809,Di Lorenzo,33,04/08/1993,Italia
61216,Birindelli,27,19/07/1999,Italia
66280,Celik,29,17/02/1997,Turchia
95361,Balerdi,27,26/01/1999,Argentina
118586,Alex Jimenez,21,08/05/2005,Spagna
59174,Estupinan,28,21/01/1998,Ecuador
102886,Scalvini,23,11/12/2003,Italia
111607,Floriani Mussolini,23,27/01/2003,Italia
112395,Cittadini,24,18/04/2002,Italia
116659,Leysen,23,09/07/2003,Belgio
120138,Siebert,24,02/04/2002,Germania
26211,Spinazzola,33,25/03/1993,Italia
71540,Vojvoda,31,01/02/1995,Kosovo
102062,Valeri,28,07/12/1998,Italia
102450,Bernasconi,23,16/11/2003,Italia
102945,Dragusin,24,03/02/2002,Romania
110749,Theate,26,25/05/2000,Belgio
111845,Ze Pedro,29,06/06/1997,Portogallo
111873,Rafa Marin,24,19/05/2002,Spagna
112625,Mario Gila,26,29/08/2000,Spagna
118068,Ghilardi,23,06/01/2003,Italia
118223,Bartesaghi,21,29/12/2005,Italia
119515,Fortini,20,13/02/2006,Italia
119839,Danilo Veiga,24,25/09/2002,Portogallo
119843,Provstgaard Nielsen,23,04/06/2003,Danimarca
120135,Belghali,24,07/06/2002,Algeria
120283,Drobnic,19,05/04/2007,Slovenia
120428,Viery,21,02/01/2005,Brasile
120431,Koulierakis,23,28/11/2003,Grecia
17403,Rodriguez,34,25/08/1992,Svizzera
17861,Juan Jesus,35,10/06/1991,Brasile
35198,Sabelli,33,13/01/1993,Italia
38177,Haps,33,12/06/1993,Suriname
49976,Pavard,30,28/03/1996,Francia
50622,Alfonso Pedraza,30,09/04/1996,Spagna
63096,Marusic,34,17/10/1992,Montenegro
64713,Ranieri,27,23/04/1999,Italia
69407,Gallo,26,05/01/2000,Italia
76574,Zortea,27,19/06/1999,Italia
95128,Kempf,31,28/01/1995,Germania
95516,Kossounou,25,04/01/2001,
95957,Franjic,26,14/01/2000,Croazia
98169,Holm,26,13/05/2000,Svezia
117029,Saul Coco,27,09/02/1999,Guinea Equatoriale
119765,Kouadio,20,07/05/2006,Italia
70846,Pavlovic,25,24/05/2001,Serbia
78237,Monterisi,25,19/12/2001,Italia
95264,Ebosse,27,11/03/1999,Camerun
110366,Bella-Kotchap,25,11/12/2001,Germania
39584,Stones,32,28/05/1994,Inghilterra
58739,Ismajli,30,30/09/1996,Albania
65752,Solet,26,07/02/2000,Francia
119948,Ndaba,27,25/12/1999,Irlanda
120429,Valde,20,20/10/2006,Spagna
120499,Bakoune,20,06/02/2006,Italia
120604,Alhassane,24,01/01/2002,Niger
49392,Ehizibue,31,25/05/1995,Olanda
64709,Olivera,29,31/10/1997,Uruguay
66418,Delprato,27,10/11/1999,Italia
94722,Rafa Obrador,22,24/02/2004,Spagna
95196,Carboni,25,04/02/2001,Italia
95701,Joao Mario,26,03/01/2000,Portogallo
115107,Kofler,21,26/04/2005,Italia
117802,Idzes,26,02/06/2000,Indonesia
120151,Britschgi,20,27/08/2006,Svizzera
70142,Thierry Correia,27,09/03/1999,Portogallo
71322,Kelly,28,06/10/1998,Inghilterra
115833,Calvani,22,12/01/2004,Italia
117727,Marcandalli,24,25/10/2002,Italia
118057,Lucchesi,23,09/05/2003,Italia
120136,Troilo,23,28/06/2003,Argentina
17350,Kolasinac,33,20/06/1993,
102393,Valenti,27,14/01/1999,Argentina
106152,Ndiaye,24,10/04/2002,Senegal
119561,Palma,18,13/03/2008,Germania
119711,Kialonda Gaspar,29,27/09/1997,Angola
119821,Otoa,22,13/05/2004,Danimarca
119841,Smolcic,26,17/08/2000,Croazia
