id,nome,ruolo,squadra,mv,presenze,fm,gol,assist,rig_segnati,rig_sbagliati,gol_subiti,rig_parati,ammonizioni,espulsioni,giornata,giornate_giocate,stagione,chiave
118464,Forson,A,Monza,6.0,4,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,forson
51306,Cutrone,A,Monza,6.0,3,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,cutrone
95276,Geubbels,A,Lecce,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,geubbels
110216,Lucca,A,Napoli,5.88,4,5.88,0,0,0,0,0,0,0,0,5,4,2026-2027,lucca
95422,Toure,A,Parma,5.88,4,5.88,0,0,0,0,0,0,0,0,5,4,2026-2027,toure
97629,Stulic,A,Lecce,5.88,4,5.88,0,0,0,0,0,0,0,0,5,4,2026-2027,stulic
102693,Almqvist,A,Parma,5.83,4,5.83,0,1,0,0,0,0,1,0,5,4,2026-2027,almqvist
119063,Njie,A,Fiorentina,6.0,2,5.83,0,0,0,0,0,0,1,0,5,4,2026-2027,njie
120447,Alajbegovic,A,Juventus,5.83,3,5.83,0,0,0,0,0,0,0,0,5,4,2026-2027,alajbegovic
68893,Bayo,A,Udinese,5.83,3,5.83,0,1,0,0,0,0,1,0,5,4,2026-2027,bayo
113898,Gnonto,A,Fiorentina,5.75,2,5.75,0,0,0,0,0,0,0,0,5,4,2026-2027,gnonto
119094,Castro,A,Roma,5.75,4,5.75,0,0,0,0,0,0,0,0,5,4,2026-2027,castro
119895,Jesus Rodriguez,A,Como,5.75,2,5.75,0,0,0,0,0,0,0,0,5,4,2026-2027,jesusrodriguez
61894,David Neres,A,Napoli,5.75,2,5.75,0,0,0,0,0,0,0,0,5,4,2026-2027,davidneres
59346,Pinamonti,A,Lazio,5.67,3,5.67,0,0,0,0,0,0,0,0,5,4,2026-2027,pinamonti
119842,N’Dri,A,Lecce,5.75,4,5.62,0,0,0,0,0,0,1,0,5,4,2026-2027,ndri
60802,Simeone,A,Torino,5.62,4,5.62,0,0,0,0,0,0,0,0,5,4,2026-2027,simeone
102053,Cambiaghi,A,Bologna,5.62,4,5.5,0,0,0,0,0,0,1,0,5,4,2026-2027,cambiaghi
102065,Felici,A,Cagliari,5.5,2,5.5,0,0,0,0,0,0,0,0,5,4,2026-2027,felici
117113,Ousmane Diallo,A,Parma,5.5,1,5.5,0,0,0,0,0,0,0,0,5,4,2026-2027,ousmanediallo
119760,Dominguez,A,Sassuolo,5.5,3,5.5,0,0,0,0,0,0,0,0,5,4,2026-2027,dominguez
120522,Lauberbach,A,Venezia,5.5,3,5.5,0,0,0,0,0,0,0,0,5,4,2026-2027,lauberbach
120536,Paco Esteban,A,Lecce,5.5,1,5.5,0,0,0,0,0,0,0,0,5,4,2026-2027,pacoesteban
120610,Fatah,A,Lecce,5.5,3,5.5,0,0,0,0,0,0,0,0,5,4,2026-2027,fatah
95108,Woltemade,A,Juventus,5.5,2,5.5,0,0,0,0,0,0,0,0,5,4,2026-2027,woltemade
95480,Aboukhlal,A,Torino,5.5,2,5.5,0,0,0,0,0,0,0,0,5,4,2026-2027,aboukhlal
95684,Isaksen,A,Lazio,5.62,4,5.5,0,0,0,0,0,0,1,0,5,4,2026-2027,isaksen
103519,Kevin Carlos,A,Cagliari,5.5,2,5.25,0,0,0,0,0,0,1,0,5,4,2026-2027,kevincarlos
120320,Elphege,A,Parma,5.25,3,5.25,0,0,0,0,0,0,0,0,5,4,2026-2027,elphege
67887,Kulenovic,A,Torino,5.0,2,5.0,0,0,0,0,0,0,0,0,5,4,2026-2027,kulenovic
95165,Colombo,A,Genoa,5.62,4,5.0,0,1,0,0,0,0,0,0,5,4,2026-2027,colombo
114932,El Azzouzi,A,Bologna,5.0,1,4.5,0,0,0,0,0,0,1,0,5,4,2026-2027,elazzouzi
115299,Enem,A,Bologna,0.0,1,0.0,0,0,0,0,0,0,0,0,5,4,2026-2027,enem
118749,Camarda,A,Milan,0.0,1,0.0,0,0,0,0,0,0,0,0,5,4,2026-2027,camarda
120549,Žulevic,A,Genoa,0.0,1,0.0,0,0,0,0,0,0,0,0,5,4,2026-2027,zulevic
120553,Kulla,A,Sassuolo,0.0,1,0.0,0,0,0,0,0,0,0,0,5,4,2026-2027,kulla
120653,Oboavwoduo,A,Juventus,0.0,1,0.0,0,0,0,0,0,0,0,0,5,4,2026-2027,oboavwoduo
43622,Zapata,A,Torino,0.0,2,0.0,0,0,0,0,0,0,0,0,5,4,2026-2027,zapata
113444,Moreira,C,Milan,6.75,2,10.0,2,0,0,0,0,0,0,0,5,4,2026-2027,moreira
96934,Zhegrova,C,Juventus,6.75,3,9.75,2,0,0,0,0,0,0,0,5,4,2026-2027,zhegrova
61532,Frattesi,C,Lazio,6.88,4,9.62,3,0,0,0,0,0,0,0,5,4,2026-2027,frattesi
120530,Mastantuono,C,Fiorentina,6.75,4,9.0,3,0,0,0,0,0,0,0,5,4,2026-2027,mastantuono
42724,Calhanoglu,C,Inter,6.67,3,8.83,2,0,0,0,0,0,1,0,5,4,2026-2027,calhanoglu
116597,Pisilli,C,Roma,6.83,3,8.67,2,0,0,0,0,0,1,0,5,4,2026-2027,pisilli
117416,Adzic,C,Sassuolo,6.75,4,8.62,2,1,0,0,0,0,0,0,5,4,2026-2027,adzic
120111,Gorter,C,Lecce,6.5,2,8.5,1,0,0,0,0,0,0,0,5,4,2026-2027,gorter
73082,Maldini,C,Cagliari,6.5,4,8.5,2,0,1,0,0,0,0,0,5,4,2026-2027,maldini
95265,Coulibaly,C,Lecce,6.62,4,8.5,2,1,0,0,0,0,0,0,5,4,2026-2027,coulibaly
103455,Baturina,C,Como,6.88,4,8.38,2,1,0,0,0,0,1,0,5,4,2026-2027,baturina
66186,Ekkelenkamp,C,Udinese,6.5,4,8.38,2,1,0,0,0,0,0,0,5,4,2026-2027,ekkelenkamp
116519,Cisse,C,Milan,6.62,4,8.0,2,0,0,0,0,0,1,0,5,4,2026-2027,cisse
45456,Barella,C,Inter,7.12,4,8.0,1,1,0,0,0,0,0,0,5,4,2026-2027,barella
19157,De Bruyne,C,Napoli,6.75,4,7.88,1,1,0,0,0,0,0,0,5,4,2026-2027,debruyne
38482,Zielinski,C,Inter,6.75,4,7.88,1,1,0,0,0,0,0,0,5,4,2026-2027,zielinski
119818,Romano,C,Cagliari,6.75,4,7.75,1,0,0,0,0,0,0,0,5,4,2026-2027,romano
38053,Rabiot,C,Milan,6.5,4,7.75,1,2,0,0,0,0,0,0,5,4,2026-2027,rabiot
109651,Diouf,C,Inter,7.17,3,7.67,0,3,0,0,0,0,0,0,5,4,2026-2027,diouf
111808,Vergara,C,Napoli,6.5,3,7.5,1,1,0,0,0,0,1,0,5,4,2026-2027,vergara
116105,Paz,C,Como,6.62,4,7.5,1,1,0,0,0,0,0,0,5,4,2026-2027,paz
44090,Lobotka,C,Napoli,6.5,4,7.5,1,0,0,0,0,0,0,0,5,4,2026-2027,lobotka
61700,Gudmundsson,C,Lazio,6.17,2,7.5,1,0,0,0,0,0,0,0,5,4,2026-2027,gudmundsson
120558,Rodrigo Mora,C,Roma,6.62,4,7.38,1,0,0,0,0,0,0,0,5,4,2026-2027,rodrigomora
49183,Mandragora,C,Torino,6.62,2,7.38,1,0,0,0,0,0,0,0,5,4,2026-2027,mandragora
68771,Koopmeiners,C,Juventus,6.5,4,7.38,1,1,0,0,0,0,0,0,5,4,2026-2027,koopmeiners
112712,Ederson,C,Atalanta,6.5,4,7.25,1,0,0,0,0,0,0,0,5,4,2026-2027,ederson
115181,Hainaut,C,Venezia,6.38,4,7.25,1,1,0,0,0,0,0,0,5,4,2026-2027,hainaut
95081,Samardzic,C,Atalanta,6.25,4,7.25,1,0,0,0,0,0,0,0,5,4,2026-2027,samardzic
111630,Volpato,C,Sassuolo,6.33,3,7.17,1,0,0,0,0,0,1,0,5,4,2026-2027,volpato
95556,Karlstrom,C,Udinese,6.5,4,7.12,1,0,0,0,0,0,1,0,5,4,2026-2027,karlstrom
53448,Pulisic,C,Milan,7.0,1,7.0,0,1,0,0,0,0,1,0,5,4,2026-2027,pulisic
66512,Colpani,C,Monza,6.25,4,7.0,1,0,0,0,0,0,0,0,5,4,2026-2027,colpani
68546,Piotrowski,C,Udinese,6.33,3,7.0,1,0,0,0,0,0,2,0,5,4,2026-2027,piotrowski
69844,Chukwueze,C,Milan,6.75,4,7.0,0,2,0,0,0,0,0,0,5,4,2026-2027,chukwueze
40864,Politano,C,Napoli,6.25,4,6.88,1,0,0,0,0,0,1,0,5,4,2026-2027,politano
66457,Adopo,C,Cagliari,6.62,4,6.88,0,2,0,0,0,0,0,0,5,4,2026-2027,adopo
104526,Francisco Conceicao,C,Juventus,6.62,4,6.75,0,1,0,0,0,0,0,0,5,4,2026-2027,franciscoconceicao
43177,Zaccagni,C,Lazio,6.75,4,6.75,0,2,0,0,0,0,2,0,5,4,2026-2027,zaccagni
58637,Calo,C,Frosinone,6.62,4,6.75,0,1,0,0,0,0,0,0,5,4,2026-2027,calo
94684,Luis Milla,C,Como,6.75,4,6.75,0,0,0,0,0,0,0,0,5,4,2026-2027,luismilla
100764,Ilic,C,Lecce,6.5,3,6.67,0,2,0,0,0,0,1,0,5,4,2026-2027,ilic
111870,Fazzini,C,Cagliari,6.62,4,6.62,0,1,0,0,0,0,1,0,5,4,2026-2027,fazzini
102680,Zalewski,C,Atalanta,6.33,3,6.5,0,1,0,0,0,0,0,0,5,4,2026-2027,zalewski
110125,Masini,C,Frosinone,6.38,4,6.5,0,1,0,0,0,0,0,0,5,4,2026-2027,masini
116309,Perrone,C,Como,6.38,4,6.5,0,1,0,0,0,0,0,0,5,4,2026-2027,perrone
116835,Unai Gomez,C,Udinese,6.33,4,6.5,0,1,0,0,0,0,1,0,5,4,2026-2027,unaigomez
119493,Bakola,C,Sassuolo,6.33,3,6.5,0,1,0,0,0,0,0,0,5,4,2026-2027,bakola
119716,Dele-Bashiru,C,Lazio,6.5,1,6.5,0,0,0,0,0,0,0,0,5,4,2026-2027,delebashiru
120542,Mout,C,Monza,6.25,4,6.5,0,1,0,0,0,0,0,0,5,4,2026-2027,mout
17744,Cristante,C,Roma,6.5,4,6.5,0,0,0,0,0,0,0,0,5,4,2026-2027,cristante
95073,McKennie,C,Juventus,6.5,1,6.5,0,0,0,0,0,0,0,0,5,4,2026-2027,mckennie
102241,Taylor,C,Lazio,6.38,4,6.38,0,0,0,0,0,0,0,0,5,4,2026-2027,taylor
118992,Pierotti,C,Lecce,6.38,4,6.38,0,0,0,0,0,0,0,0,5,4,2026-2027,pierotti
119874,Cacciamani,C,Torino,6.25,4,6.38,0,1,0,0,0,0,0,0,5,4,2026-2027,cacciamani
45103,Winks,C,Cagliari,6.38,4,6.38,0,0,0,0,0,0,0,0,5,4,2026-2027,winks
73202,da Cunha,C,Como,6.38,4,6.38,0,0,0,0,0,0,0,0,5,4,2026-2027,dacunha
102896,Sucic,C,Inter,6.33,3,6.33,0,0,0,0,0,0,0,0,5,4,2026-2027,sucic
116902,Akinsanmiro,C,Monza,6.17,3,6.33,0,1,0,0,0,0,0,0,5,4,2026-2027,akinsanmiro
40264,Pasalic,C,Atalanta,6.33,4,6.33,0,0,0,0,0,0,0,0,5,4,2026-2027,pasalic
50523,Locatelli,C,Juventus,6.33,3,6.33,0,1,0,0,0,0,1,0,5,4,2026-2027,locatelli
65986,Saelemaekers,C,Milan,6.17,3,6.33,0,1,0,0,0,0,0,0,5,4,2026-2027,saelemaekers
67792,Gaetano,C,Atalanta,6.5,3,6.33,0,1,0,0,0,0,0,1,5,4,2026-2027,gaetano
101929,Musah,C,Milan,6.25,4,6.25,0,0,0,0,0,0,0,0,5,4,2026-2027,musah
102394,Luis Henrique,C,Inter,6.25,2,6.25,0,0,0,0,0,0,0,0,5,4,2026-2027,luishenrique
103752,Fagioli,C,Fiorentina,6.25,4,6.25,0,1,0,0,0,0,1,0,5,4,2026-2027,fagioli
110798,Monteiro,C,Lecce,6.25,2,6.25,0,0,0,0,0,0,0,0,5,4,2026-2027,monteiro
111005,Thorstvedt,C,Sassuolo,6.25,4,6.25,0,0,0,0,0,0,0,0,5,4,2026-2027,thorstvedt
120240,Cinquegrano,C,Sassuolo,6.25,4,6.25,0,0,0,0,0,0,0,0,5,4,2026-2027,cinquegrano
120567,Libra,C,Bologna,6.25,2,6.25,0,0,0,0,0,0,0,0,5,4,2026-2027,libra
19997,Matic,C,Sassuolo,6.25,4,6.25,0,1,0,0,0,0,1,0,5,4,2026-2027,matic
60933,Maleh,C,Lecce,6.25,4,6.25,0,0,0,0,0,0,0,0,5,4,2026-2027,maleh
62529,McTominay,C,Napoli,6.25,2,6.25,0,0,0,0,0,0,0,0,5,4,2026-2027,mctominay
70706,Rovella,C,Lazio,6.25,2,6.25,0,0,0,0,0,0,0,0,5,4,2026-2027,rovella
77814,Busio,C,Venezia,6.12,4,6.25,0,2,0,0,0,0,1,0,5,4,2026-2027,busio
115389,Belahyane,C,Lazio,6.33,3,6.17,0,0,0,0,0,0,1,0,5,4,2026-2027,belahyane
120328,Alisson Santos,C,Napoli,6.17,3,6.17,0,0,0,0,0,0,0,0,5,4,2026-2027,alissonsantos
50050,Anguissa,C,Napoli,6.17,3,6.17,0,0,0,0,0,0,0,0,5,4,2026-2027,anguissa
66359,Jones,C,Inter,6.17,3,6.17,0,0,0,0,0,0,0,0,5,4,2026-2027,jones
109703,Fitz-Jim,C,Torino,6.12,4,6.12,0,0,0,0,0,0,0,0,5,4,2026-2027,fitzjim
110784,Frendrup,C,Genoa,6.12,4,6.12,0,0,0,0,0,0,0,0,5,4,2026-2027,frendrup
116114,Gineitis,C,Torino,6.12,4,6.12,0,1,0,0,0,0,1,0,5,4,2026-2027,gineitis
116582,Ndour,C,Fiorentina,6.12,4,6.12,0,0,0,0,0,0,0,0,5,4,2026-2027,ndour
117169,Atta,C,Fiorentina,6.12,4,6.12,0,0,0,0,0,0,0,0,5,4,2026-2027,atta
16909,Modric,C,Milan,6.12,4,6.12,0,0,0,0,0,0,0,0,5,4,2026-2027,modric
39156,Bernardeschi,C,Bologna,6.12,4,6.12,0,0,0,0,0,0,0,0,5,4,2026-2027,bernardeschi
46949,Vlasic,C,Torino,6.12,4,6.12,0,0,0,0,0,0,0,0,5,4,2026-2027,vlasic
64532,Douglas Luiz,C,Juventus,6.25,4,6.12,0,0,0,0,0,0,1,0,5,4,2026-2027,douglasluiz
70392,Kone,C,Roma,6.25,4,6.12,0,0,0,0,0,0,1,0,5,4,2026-2027,kone
101863,Oier Zarraga,C,Udinese,6.0,3,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,oierzarraga
102205,Pote,C,Fiorentina,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,pote
102232,Daniel Braganca,C,Torino,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,danielbraganca
102659,Sarr,C,Juventus,6.0,1,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,sarr
102850,Baldanzi,C,Genoa,6.0,4,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,baldanzi
110520,Zerbin,C,Frosinone,6.0,3,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,zerbin
110634,Ellertsson,C,Genoa,6.0,4,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,ellertsson
112219,Ilkhan,C,Torino,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,ilkhan
112387,Hutchinson,C,Milan,6.0,1,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,hutchinson
115133,Berisha,C,Lecce,6.0,1,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,berisha
115142,Fabbian,C,Parma,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,fabbian
115169,Sulemana,C,Sassuolo,6.0,1,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,sulemana
115754,Jashari,C,Milan,6.0,3,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,jashari
117489,Fadera,C,Cagliari,6.0,3,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,fadera
118353,Cremaschi,C,Parma,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,cremaschi
119755,Liberali,C,Como,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,liberali
119901,Ordonez,C,Parma,6.0,3,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,ordonez
