id,nome,ruolo,squadra,mv,presenze,fm,gol,assist,rig_segnati,rig_sbagliati,gol_subiti,rig_parati,ammonizioni,espulsioni,giornata,giornate_giocate,stagione,chiave,squadra_prev,mv_prev,fm_prev,presenze_prev,gol_prev,assist_prev,rig_segnati_prev,rig_sbagliati_prev,gol_subiti_prev,rig_parati_prev,ammonizioni_prev,espulsioni_prev,cambiato_squadra,delta_fm,da_titolare,subentrato,sostituito,pct_titolare,squadra_n,modulo,titolare_prob,titolare,titolare_fonte,rigorista,piazzati,indisponibile,infortunio,rientro_data,rientro_nota,giorni_stop,stop_lungo,gs_squadra,pg_squadra,gs_partita_squadra,gs_squadra_prev,pg_squadra_prev,gs_partita_squadra_prev,eta,nato_il,nome_completo,soprannome,obiettivo,fm_ponderata,bonus,punteggio,fascia,prezzo_indicativo
44633,Milinkovic-Savic,P,Napoli,6.5,1,7.5,0,0,0,0,0,0,0,0,5,4,2026-2027,milinkovicsavic,Napoli,6.41,6.28,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.22,1,0,0,0.25,napoli,4-4-1,1,1,probabili formazioni,0,0,,,,,,,5,4,1.25,36.0,38.0,0.95,29,20/02/1997,,,,6.4,0.7,7.1,Semi-top,12-24
94916,Muric,P,Sassuolo,6.5,4,4.75,0,0,0,0,0,0,0,0,5,4,2026-2027,muric,Sassuolo,6.31,5.19,32.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,-0.44,4,0,0,1.0,sassuolo,2-4-3,1,1,probabili formazioni,0,0,,,,,,,7,4,1.75,50.0,38.0,1.32,28,07/11/1998,,,,5.07,0.7,5.77,Scommessa,1-3
77144,Okoye,P,Udinese,6.38,4,3.88,0,0,0,0,0,0,0,0,5,4,2026-2027,okoye,Udinese,6.28,5.63,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,-1.75,4,0,0,1.0,udinese,5-3-1,1,1,probabili formazioni,0,0,,,,,,,10,4,2.5,48.0,38.0,1.26,27,28/08/1999,,,,5.13,0.7,5.83,Scommessa,1-3
110653,Palmisani,P,Frosinone,6.25,4,5.5,0,0,0,0,0,0,0,0,5,4,2026-2027,palmisani,,,,,,,,,,,,,0,,4,0,0,1.0,frosinone,3-4-3,1,1,probabili formazioni,0,0,,,,,,,4,4,1.0,,,,22,12/06/2004,,,,5.5,0.7,6.2,Scommessa,1-3
119794,Pessina,P,Bologna,6.0,1,5.0,0,0,0,0,0,0,0,0,5,4,2026-2027,pessina,Bologna,6.4,6.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.8,1,0,0,0.25,bologna,,0,0,,0,0,,,,,,,5,4,1.25,46.0,38.0,1.21,19,25/12/2007,,,,6.03,-0.1,5.93,Scommessa,1-3
94809,Robert Sanchez,P,Como,6.5,1,5.5,0,0,0,0,0,0,0,0,5,4,2026-2027,robertsanchez,,,,,,,,,,,,,0,,1,0,0,0.25,como,,0,0,,0,0,,,,,,,4,4,1.0,29.0,38.0,0.76,29,18/11/1997,,,,5.5,0.2,5.7,Scommessa,1-3
38871,Skorupski,P,Bologna,6.0,3,4.67,0,0,0,0,0,0,0,0,5,4,2026-2027,skorupski,Bologna,6.16,5.76,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,-1.09,3,0,0,0.75,bologna,4-3-2,1,1,probabili formazioni,0,0,,,,,,,5,4,1.25,46.0,38.0,1.21,35,05/05/1991,,,,5.41,0.2,5.61,Scommessa,1-3
102651,Stankovic,P,Venezia,6.25,4,3.5,0,0,0,0,0,0,0,0,5,4,2026-2027,stankovic,,,,,,,,,,,,,0,,4,0,0,1.0,venezia,3-2-2,1,1,probabili formazioni,0,0,,,,,,,11,4,2.75,,,,24,25/02/2002,,,,3.5,0.7,4.2,Scommessa,1-3
60457,Svilar,P,Roma,6.62,4,7.12,0,0,0,0,0,0,0,0,5,4,2026-2027,svilar,Roma,6.46,6.12,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,4,0,0,1.0,roma,4-2-3,1,1,probabili formazioni,0,0,,,,,,,1,4,0.25,31.0,38.0,0.82,27,27/08/1999,,,,6.36,0.7,7.06,Semi-top,12-24
61406,Thiam,P,Monza,5.83,3,3.5,0,0,0,0,0,0,0,0,5,4,2026-2027,thiam,,,,,,,,,,,,,0,,3,0,0,0.75,monza,5-3-1,1,1,probabili formazioni,0,0,,,,,,,11,4,2.75,,,,28,05/03/1998,,,,3.5,0.7,4.2,Scommessa,1-3
45335,Vicario,P,Juventus,6.25,4,5.75,0,0,0,0,0,0,0,0,5,4,2026-2027,vicario,,,,,,,,,,,,,0,,4,0,1,1.0,juventus,4-3-3,1,1,probabili formazioni,0,0,,,,,,,4,4,1.0,34.0,38.0,0.89,30,07/10/1996,,,,5.75,0.5,6.25,Medio,4-11
