id,nome,partite,da_titolare,subentrato,sostituito,pct_titolare
116902,Akinsanmiro,3,2,1,1,0.5
40264,Pasalic,4,2,2,1,0.5
50523,Locatelli,3,3,0,0,0.75
65986,Saelemaekers,3,1,2,1,0.25
67792,Gaetano,3,3,0,0,0.75
101929,Musah,4,3,1,0,0.75
102394,Luis Henrique,2,1,1,1,0.25
103752,Fagioli,4,3,1,1,0.75
110798,Monteiro,2,2,0,2,0.5
111005,Thorstvedt,4,1,3,1,0.25
120240,Cinquegrano,4,4,0,0,1.0
120567,Libra,2,0,2,0,0.0
19997,Matic,4,4,0,3,1.0
60933,Maleh,4,1,3,1,0.25
62529,McTominay,2,2,0,1,0.5
70706,Rovella,2,2,0,1,0.5
77814,Busio,4,4,0,1,1.0
115389,Belahyane,3,2,1,0,0.5
120328,Alisson Santos,3,2,1,2,0.5
50050,Anguissa,3,3,0,2,0.75
66359,Jones,3,0,3,0,0.0
109703,Fitz-Jim,4,4,0,1,1.0
110784,Frendrup,4,4,0,0,1.0
116114,Gineitis,4,4,0,3,1.0
116582,Ndour,4,3,1,1,0.75
117169,Atta,4,3,1,2,0.75
16909,Modric,4,3,1,3,0.75
39156,Bernardeschi,4,3,1,2,0.75
46949,Vlasic,4,4,0,0,1.0
64532,Douglas Luiz,4,4,0,2,1.0
70392,Kone,4,3,1,2,0.75
101863,Oier Zarraga,3,0,3,0,0.0
102205,Pote,2,0,2,0,0.0
102232,Daniel Braganca,2,0,2,0,0.0
102659,Sarr,1,0,1,0,0.0
102850,Baldanzi,4,4,0,4,1.0
110520,Zerbin,3,0,3,0,0.0
110634,Ellertsson,4,4,0,1,1.0
112219,Ilkhan,2,0,2,0,0.0
112387,Hutchinson,1,0,1,0,0.0
115133,Berisha,1,0,1,0,0.0
115142,Fabbian,2,1,1,1,0.25
115169,Sulemana,1,0,1,0,0.0
115754,Jashari,3,1,2,1,0.25
117489,Fadera,3,0,3,0,0.0
118353,Cremaschi,2,0,2,0,0.0
119755,Liberali,2,0,2,0,0.0
119901,Ordonez,3,3,0,2,0.75
120322,Alex Amorim,4,1,3,1,0.25
120430,Inao Oulai,3,2,1,2,0.5
120442,Meichtry,4,0,4,0,0.0
120500,Foe Ondoa,2,2,0,1,0.5
17758,El Shaarawy,1,0,1,0,0.0
36130,de Roon,2,0,2,0,0.0
38964,Gagliardini,1,0,1,0,0.0
49768,Loftus-Cheek,4,3,1,3,0.75
50707,Kessie,2,1,1,1,0.25
51334,Basic,2,2,0,2,0.5
52254,Moro,3,0,3,0,0.0
52468,Orsolini,2,1,1,2,0.25
53045,Sierro,2,1,1,1,0.25
54189,Sow,4,3,1,3,0.75
60968,Pobega,3,3,0,3,0.75
61639,Zaniolo,1,1,0,1,0.25
64560,Junior Messias,4,0,4,0,0.0
67761,Brescianini,4,2,2,2,0.5
71361,Ghion,1,0,1,0,0.0
71942,Gilmour,2,1,1,0,0.25
94911,Adrian Bernabe,3,2,1,2,0.5
96525,Ferguson,4,4,0,0,1.0
97355,Helgason,1,0,1,0,0.0
118111,Keita,4,4,0,1,1.0
120280,Ngom,4,3,1,2,0.75
