lista,blocco,nome,soprannome,nome_completo,ruolo,squadra,eta,titolare,da_titolare,pct_titolare,presenze,gol,assist,presenze_prev,gol_prev,assist_prev,titolare_fonte,obiettivo,fascia,prezzo_indicativo,punteggio,fm,mv,rig_segnati,fm_prev,mv_prev,rig_segnati_prev,delta_fm,fm_ponderata,bonus,squadra_prev,cambiato_squadra,rigorista,piazzati,indisponibile,infortunio,rientro_data,giorni_stop,stop_lungo,rientro_nota,gs_partita_squadra,gs_partita_squadra_prev,rig_parati_prev,ammonizioni_prev,espulsioni_prev
Attaccanti,principale,Adams,,Ché Zach Everton Fred Adams,A,Torino,30,0,2,0.5,3,2,0,33.0,6.0,2.0,,,Scommessa,1-14,7.02,9.0,6.67,0,6.73,6.06,0.0,2.27,7.22,-0.2,Torino,0,0,0,infortunato,Infortunio agli adduttori,11/10/2026,25.0,,"L'attaccante frenato a metà settembre da una lesione distrattiva di basso grado all'adduttore, forfait contro Roma e Bologna. Punta a recuperare nella sosta per essere poi arruolabile dalla prima metà di ottobre.",1.75,1.66,0.0,0.0,0.0
Attaccanti,principale,Bonny,,Ange-Yoan Laurent Bonny,A,Inter,23,0,0,0.0,3,1,0,33.0,5.0,4.0,,,Medio,15-49,7.39,7.33,6.33,0,6.77,6.11,0.0,0.56,6.89,0.5,Inter,0,0,0,,,,,,,1.5,0.92,0.0,1.0,0.0
Attaccanti,principale,Noslin,,Tijjani Noslin,A,Lazio,27,0,1,0.25,3,1,0,29.0,4.0,2.0,,,Scommessa,1-14,6.82,7.0,6.0,0,6.5,6.0,0.0,0.5,6.62,0.2,Lazio,0,0,0,,,,,,,0.75,1.05,0.0,5.0,0.0
Attaccanti,squadre minori,Raimondo,,Antonio Raimondo,A,Frosinone,22,1,4,1.0,4,4,0,,,,probabili formazioni,,Top,110-180,10.58,9.88,6.75,0,,,,,9.88,0.7,,0,0,0,,,,,,,1.0,,,,
Attaccanti,squadre minori,Kvernadze,,Giorgi Kvernadze,A,Frosinone,23,1,4,1.0,4,2,1,,,,probabili formazioni,,Top,110-180,9.45,8.75,6.88,0,,,,,8.75,0.7,,0,0,0,,,,,,,1.0,,,,
Attaccanti,squadre minori,Gustavo Varela,,Gustavo Miguel Pereira de Sousa Varela,A,Monza,21,1,3,0.75,3,2,0,,,,probabili formazioni,,Semi-top,50-109,9.03,8.33,6.33,0,,,,,8.33,0.7,,0,0,0,,,,,,,2.75,,,,
Attaccanti,squadre minori,Romero,,José David Romero,A,Parma,23,1,1,0.25,3,1,0,,,,probabili formazioni,,Medio,15-49,7.87,7.17,6.17,0,,,,,7.17,0.7,,0,0,0,,,,,,,1.5,1.21,,,
Attaccanti,squadre minori,Mendy,,Paul Mendy,A,Cagliari,19,1,4,1.0,4,1,0,9.0,2.0,0.0,probabili formazioni,,Medio,15-49,7.61,7.12,6.38,0,6.62,5.94,0.0,0.5,6.91,0.7,Cagliari,0,0,0,,,,,,,0.5,1.39,0.0,1.0,0.0
Attaccanti,squadre minori,Bowie,,Kieron Thomas Bowie,A,Sassuolo,24,1,3,0.75,4,1,0,14.0,4.0,0.0,probabili formazioni,,Medio,15-49,7.58,7.0,6.25,0,6.77,5.9,0.0,0.23,6.88,0.7,Verona,1,0,0,,,,,,,1.75,1.61,0.0,1.0,0.0
Attaccanti,squadre minori,Yeboah,,John Yeboah Zamora,A,Venezia,26,1,3,0.75,4,1,0,,,,probabili formazioni,,Medio,15-49,7.58,6.88,6.12,0,,,,,6.88,0.7,,0,0,2,,,,,,,2.75,,,,
Attaccanti,squadre minori,Lontani,,Simone Lontani,A,Parma,18,1,3,0.75,4,1,0,,,,probabili formazioni,,Medio,15-49,7.45,6.75,5.88,0,,,,,6.75,0.7,,0,0,0,,,,,,,1.5,1.21,,,
Attaccanti,squadre minori,Colombo,,,A,Genoa,24,1,4,1.0,4,0,1,38.0,7.0,1.0,probabili formazioni,,Scommessa,1-14,7.34,5.0,5.62,0,6.5,5.96,1.0,-1.5,6.14,1.2,Genoa,0,1,0,,,,,,,2.0,1.34,0.0,2.0,0.0
Attaccanti,squadre minori,Stulic,,Nikola Štulić,A,Lecce,25,1,2,0.5,4,0,0,34.0,4.0,0.0,probabili formazioni,,Scommessa,1-14,7.07,5.88,5.88,0,6.27,5.81,1.0,-0.39,6.17,0.9,Lecce,0,2,0,,,,,,,1.75,1.32,0.0,1.0,0.0
