lista,blocco,nome,soprannome,nome_completo,ruolo,squadra,eta,titolare,da_titolare,pct_titolare,presenze,gol,assist,presenze_prev,gol_prev,assist_prev,titolare_fonte,obiettivo,fascia,prezzo_indicativo,punteggio,fm,mv,rig_segnati,fm_prev,mv_prev,rig_segnati_prev,delta_fm,fm_ponderata,bonus,squadra_prev,cambiato_squadra,rigorista,piazzati,indisponibile,infortunio,rientro_data,giorni_stop,stop_lungo,rientro_nota,gs_partita_squadra,gs_partita_squadra_prev,rig_parati_prev,ammonizioni_prev,espulsioni_prev
Difensori,principale,Mancini,,,D,Roma,30,1,4,1.0,4,0,1,36.0,4.0,2.0,probabili formazioni,,Semi-top,15-29,7.13,7.0,6.88,0,6.51,6.22,0.0,0.49,6.63,0.5,Roma,0,0,0,,,,,,,0.25,0.82,0.0,9.0,0.0
Difensori,principale,Pavlovic,,,D,Milan,25,1,4,1.0,4,0,0,34.0,5.0,1.0,probabili formazioni,,Semi-top,15-29,7.12,5.88,6.12,0,6.61,6.17,0.0,-0.73,6.42,0.7,Milan,0,0,0,,,,,,,1.0,0.92,0.0,4.0,0.0
Difensori,principale,Kalulu,,,D,Juventus,26,1,4,1.0,4,0,0,37.0,2.0,4.0,probabili formazioni,,Semi-top,15-29,7.11,6.38,6.38,0,6.42,6.22,0.0,-0.04,6.41,0.7,Juventus,0,0,0,,,,,,,1.0,0.89,0.0,3.0,0.0
Difensori,principale,Lulli,,,D,Roma,19,1,4,1.0,4,0,0,,,,probabili formazioni,,Semi-top,15-29,7.08,6.38,6.38,0,,,,,6.38,0.7,,0,0,0,,,,,,,0.25,0.82,,,
Difensori,principale,Comert,,,D,Torino,28,1,3,0.75,3,0,1,,,,probabili formazioni,,Medio,5-14,7.03,6.33,6.17,0,,,,,6.33,0.7,,0,0,0,,,,,,,1.75,1.66,,,
Difensori,principale,Celik,,,D,Juventus,29,1,4,1.0,4,0,0,34.0,1.0,2.0,probabili formazioni,,Medio,5-14,7.0,6.25,6.38,0,6.32,6.26,0.0,-0.07,6.3,0.7,Roma,1,0,0,,,,,,,1.0,0.82,0.0,2.0,1.0
Difensori,principale,Doig,,,D,Sassuolo,24,1,4,1.0,4,1,0,30.0,0.0,0.0,probabili formazioni,,Medio,5-14,6.99,7.5,6.75,0,5.8,5.89,0.0,1.7,6.29,0.7,Sassuolo,0,0,0,,,,,,,1.75,1.32,0.0,5.0,0.0
Difensori,principale,Juan Miranda,,,D,Bologna,26,1,2,0.5,3,0,1,32.0,1.0,3.0,probabili formazioni,,Medio,5-14,6.98,6.33,6.17,0,6.27,6.23,0.0,0.06,6.28,0.7,Bologna,0,0,0,,,,,,,1.25,1.21,0.0,6.0,0.0
Difensori,squadre minori,Comuzzo,,,D,Torino,21,1,4,1.0,4,1,0,27.0,1.0,0.0,probabili formazioni,,Medio,5-14,6.97,7.0,6.25,0,5.94,5.94,0.0,1.06,6.27,0.7,Fiorentina,1,0,0,,,,,,,1.75,1.32,0.0,2.0,0.0
Difensori,squadre minori,Birindelli,,,D,Monza,27,1,4,1.0,4,0,1,,,,probabili formazioni,,Medio,5-14,6.95,6.25,6.12,0,,,,,6.25,0.7,,0,0,0,,,,,,,2.75,,,,
Difensori,squadre minori,Rodriguez,,,D,Cagliari,21,1,4,1.0,4,0,0,17.0,1.0,0.0,probabili formazioni,,Medio,5-14,6.91,6.25,6.25,0,6.19,6.03,0.0,0.06,6.21,0.7,Cagliari,0,0,0,,,,,,,0.5,1.39,0.0,3.0,0.0
Difensori,squadre minori,Kamara,,,D,Udinese,32,1,4,1.0,4,2,1,26.0,0.0,2.0,probabili formazioni,,Medio,5-14,6.91,8.38,6.75,0,5.94,6.0,0.0,2.44,6.71,0.2,Udinese,0,0,0,,,,,,,2.5,1.26,0.0,5.0,0.0
Difensori,squadre minori,Østigård,,,D,Genoa,27,1,4,1.0,4,0,0,30.0,5.0,1.0,probabili formazioni,,Medio,5-14,6.86,5.25,5.62,0,6.53,6.1,0.0,-1.28,6.16,0.7,Genoa,0,0,0,,,,,,,2.0,1.34,0.0,7.0,0.0
Difensori,squadre minori,Obert,,,D,Cagliari,24,1,4,1.0,4,0,0,35.0,0.0,3.0,probabili formazioni,,Medio,5-14,6.83,6.62,6.62,0,5.96,6.06,0.0,0.66,6.13,0.7,Cagliari,0,0,0,,,,,,,0.5,1.39,0.0,9.0,0.0
Difensori,squadre minori,Cittadini,,,D,Frosinone,24,1,3,0.75,4,0,0,,,,probabili formazioni,,Medio,5-14,6.82,6.12,6.25,0,,,,,6.12,0.7,,0,0,0,,,,,,,1.0,,,,
Difensori,squadre minori,Leysen,,,D,Sassuolo,23,1,3,0.75,4,0,1,,,,probabili formazioni,,Medio,5-14,6.82,6.12,6.12,0,,,,,6.12,0.7,,0,0,0,,,,,,,1.75,1.32,,,
Difensori,squadre minori,Vojvoda,,,D,Udinese,31,1,4,1.0,4,0,0,30.0,2.0,2.0,probabili formazioni,,Medio,5-14,6.81,6.12,6.12,0,6.39,6.11,0.0,-0.27,6.31,0.5,Como 1907,1,0,0,,,,,,,2.5,0.76,0.0,1.0,0.0
Difensori,squadre minori,Saul Coco,,,D,Torino,27,1,4,1.0,4,0,0,35.0,1.0,1.0,probabili formazioni,,Medio,5-14,6.77,5.88,5.88,0,6.13,6.07,0.0,-0.25,6.07,0.7,Torino,0,0,0,,,,,,,1.75,1.66,0.0,3.0,0.0
Centrocampisti,principale,Ilic,,,C,Lecce,25,0,2,0.5,3,0,2,8.0,0.0,0.0,,sesto centrocampista,Scommessa,1-9,6.38,6.67,6.5,0,5.62,5.75,0.0,1.05,6.18,0.2,Torino,1,0,0,,,,,,,1.75,1.66,0.0,2.0,0.0
Centrocampisti,principale,Matic,,,C,Sassuolo,38,1,4,1.0,4,0,1,34.0,1.0,1.0,probabili formazioni,obiettivo mercato,Scommessa,1-9,6.31,6.25,6.25,0,6.06,6.07,0.0,0.19,6.11,0.2,Sassuolo,0,0,0,,,,,,,1.75,1.32,0.0,7.0,1.0
Centrocampisti,principale,Rabiot,,,C,Milan,31,1,2,0.5,4,1,2,29.0,6.0,4.0,probabili formazioni,obiettivo,Medio,10-29,7.72,7.75,6.5,0,7.0,6.37,0.0,0.75,7.22,0.5,Milan,0,0,0,,,,,,,1.0,0.92,0.0,5.0,0.0
Centrocampisti,principale,Pisilli,,,C,Roma,22,0,1,0.25,3,2,0,25.0,2.0,4.0,,obiettivo,Semi-top,30-59,7.93,8.67,6.83,0,6.57,6.28,0.0,2.1,7.13,0.8,Roma,0,0,0,,,,,,,0.25,0.82,0.0,3.0,0.0
